pid	code	cm_nat0	cm_nat1	cm_seat
8fdb50ff816a7ba85dbe9e2199b7b2a1	59198	1	1	0
aa7943c3d0b77ece0353aa6ec2d3d886	59198	1	1	0
b5f75d0cad3fbc8639aace42ed7ca7b9	59198	1	1	0
7d3ee5f4fff4ceac4ca0f20eec2e84c9	59198	1	1	0
a5f0a35bb3f717e9d8e6d69d42c2f08e	59198	1	1	0
c36109bb66d092570545de495963b7eb	59198	1	1	0
7e767e21406f43a18aa160be55d7bbf3	59198	1	1	0
3e2d697168f4fa311fc4d25b91033462	59198	1	1	0
e820bf4d3e9aa0148f4533e47bd746bc	59198	1	1	0
844b51cece7fc26f96da00d9b7aae80e	59198	1	1	0
0ac37a954adefe29a5317abf72f36df2	59198	1	1	0
8b37d79ee5688fe3965783d2b868ff16	59198	1	1	0
f2f365f7282ba3b9bc5ed494d70a6a07	59198	1	1	0
51f380f355991deb11ccb4ff61b3d165	59198	1	1	0
6282b9e90b7b7b6ee573d189c05c8525	59198	1	1	0
cec781f242c3d98417a6a228413eb232	59198	1	0	0
a54cdb23ccc178813e333b64b3075a08	59198	1	1	0
c2ce0a9078f09c46a2b63a40d997c416	59198	1	1	0
35ce82ea4a2643bd76b1b64c507b1d34	59198	1	1	0
9dd9d97bfe757157d86dfe3c6b5c1d1d	59198	1	1	0
972202e2c3e11c6745843998b3ecaf61	59198	1	1	0
3777c6e4196c506047182c7429b3819f	59198	1	1	0
980091b9edfa544655e0e9259624807b	59198	1	1	0
a81f23c29e78e2cd3db4513d5558e6ef	59198	1	1	0
e58dca9b921fcf386ebaa9dc5a104d50	59198	1	1	0
fbbdfcda1dcb0b773f2a39aecc8fb04d	59198	1	1	0
35897f15eb398132f02df6660952efef	59198	1	1	0
c2982bc53b4ceaaf7544519f694d9cd2	59198	1	1	0
cae36f5c4d141b1d3ac26e5b6fa3c271	59198	1	1	0
a2a057979e3a11ea182b8d0a2678920d	59198	1	1	0
c9eaf3ca1d62c8b8a6169cd1a80a9fe7	59198	1	1	0
6bb680d6b3e72a7b5cb11f874795e43c	59198	1	1	0
e9972fc09bcc0f8e9a5c8d93a4566a4e	59198	1	1	0
d1ff2152154c7de81b7430f0cef0023b	59198	1	1	0
f422a9934885f350688e9d0502cfb894	59198	1	1	0
e37c43b6df0eb27e199fba825df189a4	59198	1	1	0
26891d101aef6e1db260d21aa4d14d2d	59198	1	1	1
b42a94bf6764f90e0535058dcf1e7cef	59301	1	0	0
54c5d128f189e5173ae0551cf2fc8d71	59301	1	1	0
9912e2c60231cc4765c1c6def3f06fa6	59301	1	1	0
e1673c949c22eb035898cb3cd34e757b	59301	1	1	0
3117e1c249fd6c48efb3279e19a78dd8	59301	1	0	0
56abe33ddb650d9bce17b868fe4121ce	59301	1	1	0
55684227e11146c10bbcbc578b64f51e	59301	1	0	0
770859ac34ab1d94b970a0c9904a430f	59301	1	1	0
41f0c06e55701d1abe1f42f0c0f3665f	59301	1	1	0
0966575228dd0e7e74bf293c9886b3ff	59301	1	0	0
ba75af61b48d74d578d5c65dfde9abe1	59301	1	1	0
11366338c0fb6260dd6ace44050e873e	59301	1	1	0
b29795328cbed2e834d06f3eb8311db1	59301	1	0	0
89c3005a5edbddec11d40fbe3e6391e7	59301	1	1	0
cb8507afd2f1a58e9abc1d46d7e44da3	59301	1	1	0
23c274150fa82647a56d9bb0eeb0ad83	59301	1	1	0
0b5b8fe13374eafa299038b681286326	59301	1	1	0
20bba19109cdc9052032f33e1adf324b	59301	1	1	0
88c368c1a03188a5a4d5538a2464c59b	59301	1	1	0
b5e03d94c7c16bcbc66d10b655fdba8c	59301	1	0	0
d2c455f4d3672bb2fa5df274b6e4d685	59301	1	1	0
fb33a67d2e8524e0438d4f74f50f8774	59301	1	0	0
2afd9f9a269bdf8600cfc298e7100461	59301	1	1	0
3cdf9bc26a1e253484e4ed082985ad83	59301	1	1	0
49b3c909c30d1099fed1fbdaacd4ffce	59301	1	1	0
f1eb003e76191aabec63087c10ae8201	59301	1	1	0
27f637a229e9f87725256369a56fe936	59301	1	1	0
e673344038665d079978bffe7e4d9bf5	59301	1	1	0
89df6b1c7847384126a47f7a1e497b93	59301	1	1	0
7be3489a759428618c0af2420e15a706	59301	1	1	0
