city	code	ins	abs
Quiévrechain	59484	3790	1419
Quiévy	59485	1367	325
Quérénaing	59480	679	137
Radinghem-en-Weppes	59487	1217	192
Raillencourt-Sainte-Olle	59488	1714	350
Raimbeaucourt	59489	3065	726
Rainsars	59490	163	40
Raismes	59491	9365	3268
Ramillies	59492	446	92
Ramousies	59493	176	38
Raucourt-au-Bois	59494	115	23
Recquignies	59495	1721	628
Rejet-de-Beaulieu	59496	177	27
Renescure	59497	1766	384
Reumont	59498	259	40
Rexpoëde	59499	1489	315
Ribécourt-la-Tour	59500	305	50
Rieulay	59501	1034	266
Rieux-en-Cambrésis	59502	1007	198
Robersart	59503	135	10
Roeulx	59504	2687	733
Rombies-et-Marchipont	59505	563	107
Romeries	59506	356	73
Ronchin	59507	12257	3556
Roncq	59508	10818	2817
Roost-Warendin	59509	4700	1264
Rosult	59511	1517	255
Roubaix	59512	47696	22996
Roucourt	59513	373	72
Rousies	59514	2789	645
Rouvignies	59515	493	116
Rubrouck	59516	706	113
Ruesnes	59518	333	66
Rumegies	59519	1392	313
Rumilly-en-Cambrésis	59520	1132	233
Râches	59486	2023	510
Sailly-lez-Cambrai	59521	305	62
Sailly-lez-Lannoy	59522	1581	284
Sainghin-en-Mélantois	59523	2245	426
Sainghin-en-Weppes	59524	4375	988
Sains-du-Nord	59525	1882	470
Saint-Amand-les-Eaux	59526	12748	4128
Saint-André-lez-Lille	59527	8668	2215
Saint-Aubert	59528	1177	282
Saint-Aubin	59529	252	44
Saint-Aybert	59530	240	62
Saint-Benin	59531	229	40
Saint-Georges-sur-l'Aa	59532	236	30
Saint-Hilaire-lez-Cambrai	59533	1150	235
Saint-Hilaire-sur-Helpe	59534	558	125
Saint-Jans-Cappel	59535	1323	220
Saint-Martin-sur-Ecaillon	59537	406	87
Saint-Momelin	59538	306	59
Saint-Pierre-Brouck	59539	732	128
Saint-Python	59541	793	208
Saint-Remy-Chaussée	59542	374	96
Saint-Remy-du-Nord	59543	804	170
Saint-Saulve	59544	8250	2360
Saint-Souplet	59545	958	257
Saint-Sylvestre-Cappel	59546	973	171
Saint-Vaast-en-Cambrésis	59547	637	135
Saint-Waast	59548	504	89
Sainte-Marie-Cappel	59536	724	132
Salesches	59549	258	70
Salomé	59550	2368	554
Saméon	59551	1301	272
Sancourt	59552	150	25
Santes	59553	4738	984
