code	pop	pop_fem	pop_60	pop_bac2	pop_ouvr
59497	2128	50.58	28.59	9.64	7.45
59498	343	49.92	25.84	9.27	14.36
59499	1992	50.54	22.75	10.56	14.55
59500	376	46.79	29.37	15.01	12.19
59501	1243	52.21	36.74	7.69	15.45
59502	1438	49.53	26.55	7	12.95
59503	204	46.46	23.74	10.1	12.63
59504	3779	51.04	23.89	6.69	12.63
59505	750	48.92	22.84	11.01	16.67
59506	476	48.4	22.14	7.45	9.6
59507	19437	52.51	22.02	8.33	13.49
59508	13784	53.19	24.99	9.87	13.34
59509	5976	52.24	27.56	6.62	13.78
59511	1973	49.03	24.05	11.94	11.11
59512	98892	51.25	16.17	4.95	11.44
59513	457	47.74	26.25	9.86	15.29
59514	4043	51.92	27.95	9.06	14.66
59515	657	51.06	19.58	8.03	18.99
59516	919	48.16	17	10.19	10.4
59517	748	51.23	26.48	10.61	9.97
59518	455	48.55	29.51	12.39	2.12
59519	1740	49.31	22.21	9.98	9.19
59520	1429	51.34	28.42	8.8	15.66
59521	422	52.74	25.43	11.45	16.04
59522	1949	50.32	25.03	11.87	9.11
59523	2848	51.51	28.35	10.44	7.68
59524	5641	52.18	24.02	9.41	12.31
59525	2779	52.31	29.23	5.94	13.56
59526	15980	52.41	27.18	7.48	13.27
59527	12942	52.79	20.62	8.76	13.4
59528	1561	50.49	23.47	8.51	13.12
59529	347	51.57	28.93	8.7	12.64
59530	332	50.19	27.12	6.91	14.95
59531	339	49.28	25.15	6.75	8.78
59532	296	47.79	23.31	10.35	13.77
59533	1555	51.73	27.97	6.8	11.65
59534	800	49.39	27.7	8.45	12.31
59535	1642	50.66	28.81	10.54	10.62
59536	857	49	23.18	12.36	7.08
59537	500	50.82	28.53	5.67	12.6
59538	418	48.14	25.68	7.25	21.26
59539	984	50.87	18.78	10.16	12.7
59541	999	50.36	27.48	6.53	14.32
59542	486	51	18.91	9.72	8.55
59543	1070	50.69	31.45	6.81	16.55
59544	11117	53.3	28.26	8.9	12.26
59545	1203	48.64	24.58	6.32	12.9
59546	1154	49.58	27.36	9.41	10.85
59547	860	52.17	24.91	7.76	11.12
59548	658	48.55	20.89	7.02	15.25
59549	329	50.51	21.36	8.6	12.21
59550	3051	50.75	20.24	9.01	14.3
59551	1738	51.45	25.91	10.76	11.77
59552	194	48.47	26.53	8.16	12.76
59553	5660	51.48	26.3	10.18	10.76
59554	617	48.71	17.24	12.3	9.71
59555	1420	53.88	24.73	6.6	15.58
59556	260	50.03	30.95	10.05	13.49
59557	2553	51.54	23.4	10.47	10.91
59558	1679	50.59	30.07	9.9	9.48
59559	1977	51.64	27.28	11.37	7.97
59560	12834	53.1	23.69	7.79	13.77
59562	533	49.1	29.16	9.9	13.53
59563	232	46.7	30.84	9.25	8.81
59564	3143	50.82	25.19	6.8	13.14
59565	649	51.85	21.83	12.8	10.76
59566	4762	44.48	22.88	9.03	11.83
59567	415	49.29	21.71	15.62	12.02
59568	484	48.99	17.6	11.16	7.24
59569	15603	52.81	24.34	5.46	13.83
59570	890	49.14	34.66	12	8.12
59571	4249	51.01	27.21	5.13	14.01
59572	1776	52.49	30.01	6.63	16.87
59573	143	48.94	19.86	7.8	21.28
59574	11790	52.29	25.89	5.96	13.44
59575	398	53.78	25.96	13.09	21.06
59576	1752	50.19	22.45	10.7	11.76
59577	693	48.01	23.98	8.83	15.35
59578	1650	49.48	27.67	8.36	14.17
59579	1365	51.79	23.06	10.55	14.98
59580	4324	49.94	29.66	9.34	14.9
59581	3540	50.27	26.49	10.26	12.15
59582	946	49.79	14.56	11.84	17.61
59583	476	50.53	28.9	8.46	9.52
59584	962	48.5	26.42	9.74	14.12
59585	3635	52.33	27.16	10.06	15.21
59586	6705	51.77	25.84	10.35	11.6
59587	518	48.73	31.42	12.68	8.64
59588	8384	51.3	30.59	10.16	11.56
59589	3011	52.34	20.45	8.47	14.85
59590	916	49.4	19.94	8.39	16.58
59591	824	50.58	23.91	5.78	13.45
59592	4029	51.13	23.61	11.17	12.57
59593	767	49.75	21.43	9.77	15.23
59594	1110	48.59	20.26	9.42	10.79
59595	541	49.63	29.24	13.46	6.41
59596	528	46.26	16.84	8.91	11.17
59597	696	49.82	28.99	14.85	13.99
59598	3910	52.57	25.95	10.71	11.49
59599	99011	52.37	18.15	7.11	14.62
59600	947	50	17.69	12.5	10.7
59601	2679	52.98	26.74	6.08	12.55
