code	pid	mun_r1	mun_r2
59017	7b25537981035e9d734c334e49e8d559	0	0
59017	a2c718dc5eb8a059e2eca5d604c89b5e	0	0
59017	90d83853cdd36a3d9a0e26f3b5b6291b	0	0
59017	8003fa67132f474089067df500eb525c	0	0
59017	375f1dcd9f2a60778c06e39b2f89fe85	0	0
59017	ad5c0c1df952fa0d613df9136483b153	0	1
59017	ba24291047fe73d72a9c532fe8252fc8	4	0
59017	b8c5989e75d9870e0801c950c9ca948f	1	1
59017	5f2ef02827faf8055d2bf4ad5135e184	0	NA
59017	f381fb559ddce3369b65f1256088fcb3	1	1
59017	8bf3be2de7bba1f095a347e3fe206e83	1	1
59017	e6a4e50cfbc089f02fa7d3385638b692	0	0
59017	131da336cfe3ad14d09878b5ac576900	1	1
59017	ef30319b4b5f1f3b35fa4b17b0e51e86	1	1
59017	f0f6967de22dcd9c6522dd626fcea740	1	1
59017	59caed38e1ec0d57ed56ccb6425cf350	0	0
59017	163040c7c031e8e89df1971c13ed2853	1	1
59017	fcc1b717dafbe8a2bc9f7429f41a3fe5	0	0
59017	2bd5da54eeec44b587505f8ee9acd4a1	0	0
59017	fd00f523b6b65d5a901b11ccdf1563d0	1	0
59017	a0f317ffb07a70bfa1f40ed6aa13d0f5	0	0
59017	23bf35ba35704b38eb6971f9a464ae7c	0	4
59017	ee885b32672d5953975aab2f917b6277	0	0
59017	d426478bcb5e13d903f1b1a6aab08d6e	4	0
59017	773eac34bd8f8b32170b7a68b398d2fb	0	NA
59017	ef165155a7c131d1069e36ff3ea1169f	4	0
59017	8034ed3a0d23f5616746f2a4d7a2ea19	0	0
59017	f4c4c3212f51337488346e5b928e4cfd	1	1
59017	862faa577fd78d6cc619f841cb931b5f	0	0
59017	50e5b825813e7475fffa2f274e852074	0	0
59017	7da63e0f5d07ef0a6bedc7ddc935e8ce	2	1
59017	36078698fddd7631474b2286b31be12c	0	4
59018	48c524c5055daeeef7fdedc7f3522613	1	NA
59019	d538749db9a82c2f86c939b5985c6c5d	1	NA
59019	f03487a608e103f7c5123c2b4bc27495	1	NA
59019	cb2b8a16e7ce996fd1793e3085d51815	1	NA
59021	e1165856e046b5f96563b73171eeedbb	4	NA
59021	7467529ffe543c4ea3bba939c3adaac8	4	NA
59021	d5c9b8e292a7f8e0d5dafeca21e58b7c	0	NA
59024	eb12fb8979276449f477564fc185cdfe	4	NA
59024	a24410fab795c343a061d9edf867799e	0	NA
59024	1d066195d274592217ec46d34549be97	4	NA
59025	be219a45edb23870b0f8815b773affad	0	NA
59025	1c9b5f617bbffdef5d8205762e8a6c6c	0	NA
59027	52ed06a47d82c532c8eb46cceb9e7de7	0	0
59028	48744a7b99057290b2ea4397301be229	0	NA
59028	456b894447554db55ab3116f1756bb64	0	NA
59028	5c004239f38b8f3c2d55bb098550ed0c	0	NA
59028	0e070886a58fe5f76a397148933ee11e	0	NA
59028	c2b77ba2455c8dbd1ce762d85fa3bac4	0	NA
59028	1c8624fb1651f87e9147f5a3a6804d57	0	NA
59028	ba045afc1ed295831c934751fccfccf5	1	NA
59028	e91db84b36461f37dc8422229caf6f48	0	NA
59028	747c4ce2ba517de6c6b5d1bf6a360261	1	NA
59028	144efb3520f9a3be6b3ab96f8c7fa37f	0	NA
59028	cb5bbd0ddbd547fa4f0d2155553d3419	0	NA
