code	city	n_ins	n_nat	n_eur	n_hu	n_nl	n_it	n_be	n_pt	n_bg	n_cz	n_de	n_dk	n_es	n_fi	n_gr	n_ie	n_pl	n_ro	n_se	n_sk	n_at	n_lu	n_lt	n_cy	n_lv	n_si	n_hr	n_ee
59611	Verlinghem	1976	1968	8	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59612	Vertain	443	441	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59613	Vicq	957	937	20	0	0	4	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59614	Viesly	1095	1089	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
59615	Vieux-Berquin	1995	1981	14	0	2	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59616	Vieux-Condé	8145	7853	292	0	0	70	214	2	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
59617	Vieux-Mesnil	470	456	14	0	0	2	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59618	Vieux-Reng	636	561	75	0	0	2	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59619	Villereau	786	774	12	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59620	Villers-au-Tertre	515	509	6	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59622	Villers-en-Cauchies	859	859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59623	Villers-Guislain	575	567	8	0	0	0	2	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
59624	Villers-Outréaux	1530	1486	44	0	0	2	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59625	Villers-Plouich	297	295	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59626	Villers-Pol	932	912	20	0	2	2	10	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59627	Villers-Sire-Nicole	802	718	84	0	0	0	82	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59628	Volckerinckhove	441	437	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59629	Vred	1006	1003	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59630	Wahagnies	2016	2009	7	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59631	Walincourt-Selvigny	1592	1583	9	0	0	0	0	5	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59632	Wallers	4065	4024	41	0	0	28	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59633	Wallers-en-Fagne	280	201	79	0	2	0	75	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59634	Wallon-Cappel	660	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59635	Wambaix	292	286	6	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59636	Wambrechies	8571	8507	64	0	8	11	27	6	0	0	8	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
59637	Wandignies-Hamage	985	975	10	0	2	0	2	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
59638	Wannehain	1010	991	19	0	0	4	9	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
59639	Wargnies-le-Grand	876	874	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59640	Wargnies-le-Petit	622	603	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59641	Warhem	1732	1729	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59642	Warlaing	475	467	8	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59643	Warneton	194	193	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59645	Wasnes-au-Bac	490	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59646	Wasquehal	15887	15756	131	0	4	22	37	43	0	0	7	0	13	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0
59647	Watten	1976	1973	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
59648	Wattignies	9419	9384	35	0	0	8	10	13	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
59649	Wattignies-la-Victoire	208	204	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59650	Wattrelos	29113	28704	409	0	2	98	102	164	0	0	2	2	37	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
59651	Wavrechain-sous-Denain	1028	1026	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59652	Wavrechain-sous-Faulx	305	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59653	Wavrin	6200	6174	26	0	1	0	16	5	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59654	Waziers	5070	5028	42	0	0	24	10	2	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
59655	Wemaers-Cappel	172	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59656	Wervicq-Sud	3777	3653	124	0	2	0	30	70	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59657	West-Cappel	496	494	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59658	Wicres	372	368	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59659	Wignehies	2015	2005	10	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59660	Willems	2455	2430	25	0	0	0	17	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59661	Willies	112	106	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59662	Winnezeele	963	951	12	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59663	Wormhout	4408	4380	28	0	2	6	16	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59664	Wulverdinghe	253	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59665	Wylder	219	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59666	Zegerscappel	1183	1175	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59667	Zermezeele	181	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59668	Zuydcoote	1207	1187	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59669	Zuytpeene	417	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59670	Don	1000	999	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
