code	city	pop21
59371	Le Maisnil	643
59372	Malincourt	482
59374	Marbaix	473
59375	Marchiennes	4600
59377	Marcoing	1914
59378	Marcq-en-Barœul	40044
59379	Marcq-en-Ostrevent	765
59381	Maresches	828
59382	Maretz	1430
59383	Marly	12146
59384	Maroilles	1463
59385	Marpent	2676
59386	Marquette-lez-Lille	11277
59387	Marquette-en-Ostrevant	1943
59388	Marquillies	2005
59389	Masnières	2801
59390	Masny	4083
59391	Mastaing	894
59392	Maubeuge	29344
59393	Maulde	994
59394	Maurois	408
59395	Mazinghien	293
59396	Mecquignies	716
59397	Merckeghem	626
59398	Mérignies	3499
59399	Merris	1081
59400	Merville	9740
59401	Méteren	2287
59402	Millam	868
59403	Millonfosse	718
59405	Mœuvres	492
59406	Monceau-Saint-Waast	435
59407	Monchaux-sur-Écaillon	570
59408	Moncheaux	1729
59409	Monchecourt	2520
59410	Mons-en-Barœul	21600
59411	Mons-en-Pévèle	2127
59412	Montay	277
59413	Montigny-en-Cambrésis	561
59414	Montigny-en-Ostrevent	4735
59415	Montrécourt	227
59416	Morbecque	2551
59418	Mortagne-du-Nord	1591
59419	Mouchin	1462
59420	Moustier-en-Fagne	62
59421	Mouvaux	13362
59422	Naves	638
59423	Neuf-Berquin	1424
59424	Neuf-Mesnil	1311
59425	Neuville-en-Avesnois	310
59426	Neuville-en-Ferrain	10228
59427	La Neuville	632
59428	Neuville-Saint-Rémy	3951
59429	Neuville-sur-Escaut	2771
59430	Neuvilly	1104
59431	Nieppe	7686
59432	Niergnies	519
59433	Nieurlet	915
59434	Nivelle	1397
59435	Nomain	2621
59436	Noordpeene	813
59437	Noyelles-lès-Seclin	860
59438	Noyelles-sur-Escaut	832
59439	Noyelles-sur-Sambre	284
59440	Noyelles-sur-Selle	684
59441	Obies	655
59442	Obrechies	279
59443	Ochtezeele	376
59444	Odomez	936
59445	Ohain	1206
59446	Oisy	698
59447	Onnaing	8785
59448	Oost-Cappel	477
59449	Orchies	8596
59450	Ors	646
59451	Orsinval	568
59452	Ostricourt	5859
59453	Oudezeele	698
59454	Oxelaëre	533
59455	Paillencourt	1028
59456	Pecquencourt	6498
59457	Pérenchies	8582
59458	Péronne-en-Mélantois	1026
59459	Petite-Forêt	5097
59461	Petit-Fayt	300
59462	Phalempin	4899
59463	Pitgam	988
59464	Poix-du-Nord	2198
59465	Pommereuil	795
59466	Pont-à-Marcq	2971
59467	Pont-sur-Sambre	2437
59468	Potelle	446
59469	Pradelles	420
59470	Prémesques	2091
59471	Préseau	2086
59472	Preux-au-Bois	846
59473	Preux-au-Sart	309
59474	Prisches	1063
59475	Prouvy	2192
59476	Proville	3182
59477	Provin	4512
59478	Quaëdypre	1147
59479	Quarouble	3159
59480	Quérénaing	871
59481	Le Quesnoy	4970
59482	Quesnoy-sur-Deûle	6979
59483	Quiévelon	139
59484	Quiévrechain	6251
59485	Quiévy	1821
59486	Râches	2702
59487	Radinghem-en-Weppes	1413
59488	Raillencourt-Sainte-Olle	2167
59489	Raimbeaucourt	4070
59490	Rainsars	189
59491	Raismes	12108
59492	Ramillies	603
59493	Ramousies	228
59494	Raucourt-au-Bois	155
59495	Recquignies	2436
59496	Rejet-de-Beaulieu	234
59497	Renescure	2157
59498	Reumont	353
59499	Rexpoëde	2022
59500	Ribécourt-la-Tour	381
59501	Rieulay	1268
59502	Rieux-en-Cambrésis	1448
59503	Robersart	206
59504	Rœulx	3796
59505	Rombies-et-Marchipont	757
59506	Romeries	483
59507	Ronchin	19573
59508	Roncq	13897
59509	Roost-Warendin	6027
59511	Rosult	2008
59512	Roubaix	99314
59513	Roucourt	463
59514	Rousies	4095
59515	Rouvignies	663
59516	Rubrouck	941
59517	Les Rues-des-Vignes	762
59518	Ruesnes	461
59519	Rumegies	1773
59520	Rumilly-en-Cambrésis	1455
59521	Sailly-lez-Cambrai	430
59522	Sailly-lez-Lannoy	1988
59523	Sainghin-en-Mélantois	2886
59524	Sainghin-en-Weppes	5693
59525	Sains-du-Nord	2805
59526	Saint-Amand-les-Eaux	16160
59527	Saint-André-lez-Lille	13053
59528	Saint-Aubert	1578
59529	Saint-Aubin	355
59530	Saint-Aybert	333
59531	Saint-Benin	344
59532	Saint-Georges-sur-l'Aa	299
59533	Saint-Hilaire-lez-Cambrai	1572
59534	Saint-Hilaire-sur-Helpe	823
59535	Saint-Jans-Cappel	1689
59536	Sainte-Marie-Cappel	882
59537	Saint-Martin-sur-Écaillon	509
59538	Saint-Momelin	429
59539	Saint-Pierre-Brouck	1000
59541	Saint-Python	1007
59542	Saint-Remy-Chaussée	494
