code	natl	n0	n1	sex_m	sex_f	age_15	age_60	res_19	res_20	edu_lo	edu_hi	occ_else	occ_empl
59383	NLD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59383	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59383	PRT	20.1	20.1	NA	NA	NA	NA	NA	20.1	NA	NA	NA	NA
59383	ROU	9.08	9.08	NA	NA	9.08	NA	9.08	NA	NA	NA	NA	NA
59384	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59384	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59384	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59385	BEL	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59385	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59385	ITA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59385	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59385	ROU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59386	BEL	15.88	15.88	NA	NA	15.88	NA	NA	NA	NA	NA	NA	NA
59386	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59386	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59386	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59386	PRT	34.84	34.84	17.97	16.87	NA	NA	NA	NA	NA	NA	10.63	NA
59386	ROU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59387	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59387	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59387	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59387	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59387	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59388	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59388	Other EU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59388	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59389	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59389	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59389	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59389	Other EU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59389	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59389	PRT	11.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59390	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59390	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59390	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59390	ITA	32.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59390	Other EU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59390	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59390	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59390	ROU	8.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59391	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59391	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59392	BEL	287.49	287.49	158.38	129.11	183.56	103.93	195.16	92.33	171.92	115.57	74.35	109.99
59392	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59392	ESP	20.61	20.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59392	ITA	91.29	91.29	65.6	25.69	55.54	35.75	33.59	57.7	78.96	12.33	15.19	34.83
59392	NLD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59392	POL	13.3	13.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59392	PRT	41.81	41.81	23.83	17.98	14.9	26.91	NA	41.81	41.81	NA	NA	15.04
59392	ROU	42.5	42.5	17.7	24.79	NA	NA	42.5	NA	18.48	24.01	25.32	NA
59393	BEL	32.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59393	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59393	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59393	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59395	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59396	BEL	25.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59396	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59397	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59398	BEL	7.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59398	BGR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59398	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59398	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59398	NLD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59398	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59398	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59399	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59399	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59400	BEL	10.22	10.22	NA	NA	NA	NA	NA	NA	5.13	5.09	NA	NA
59400	BGR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59400	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59400	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59400	PRT	3.97	3.97	3.97	NA	3.97	NA	NA	NA	3.97	NA	NA	NA
59401	BEL	6.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59401	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59401	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59401	Other EU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59401	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59401	ROU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59403	BEL	3.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59403	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59403	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59403	ROU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59405	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59405	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59407	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59408	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59408	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59408	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59409	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59409	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59409	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59409	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59410	BEL	38.15	38.15	6.19	31.96	26.43	11.72	18.66	19.5	14.92	23.24	10.19	NA
59410	BGR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59410	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59410	ESP	14.13	14.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59410	ITA	28.28	28.28	6.29	21.99	NA	NA	18.62	9.66	15.01	13.27	12.47	NA
59410	NLD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59410	Other EU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59410	POL	11.37	11.37	NA	NA	11.37	NA	11.37	NA	11.37	NA	NA	NA
59410	PRT	38.52	38.52	20.72	17.81	15.11	23.41	9.56	28.96	NA	NA	NA	18.64
59410	ROU	21.75	21.75	8.76	12.99	21.75	NA	21.75	NA	14.81	6.95	NA	11.93
59411	BEL	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59411	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59411	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59411	NLD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59411	PRT	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59411	ROU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59413	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59414	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59414	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59414	ITA	47.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59414	NLD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59414	Other EU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59414	POL	10.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59416	BEL	5.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59416	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59418	BEL	53.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59418	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59418	Other EU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59418	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59418	PRT	5.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59419	BEL	18.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59419	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59419	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59419	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59420	BEL	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59421	BEL	34.52	34.52	23.06	11.46	21.93	12.59	14.75	19.77	14.34	20.18	9.06	12.52
59421	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59421	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59421	ITA	28.2	28.2	14.43	13.78	NA	NA	NA	NA	16.8	11.4	17.54	NA
59421	Other EU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59421	POL	15.45	15.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59421	PRT	49.08	49.08	28.47	20.61	37.52	11.56	NA	49.08	NA	NA	15.71	19.34
59422	BEL	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59423	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59423	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59423	NLD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59423	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59424	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59424	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59424	PRT	4.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59425	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59425	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59426	BEL	58.51	58.51	26.77	31.74	29.04	29.46	23.66	34.85	29.95	28.56	22.63	8.93
59426	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59426	ITA	34.93	34.93	23.46	11.47	11.47	23.46	NA	NA	NA	NA	NA	11.25
59426	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59426	PRT	53.88	53.88	33.93	19.95	25.84	28.04	NA	53.88	NA	NA	15.42	16.03
59427	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59428	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59428	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59428	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59428	Other EU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59428	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59428	PRT	29.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59428	ROU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59429	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
